episode_name_number,episode,imdb_rating,season,season_ep_name
S6.E6 ∙ The One on the Last Night,6,8.4,6,S6.E6: The One on the Last Night
S6.E7 ∙ The One Where Phoebe Runs,7,8.2,6,S6.E7: The One Where Phoebe Runs
S6.E8 ∙ The One with Ross' Teeth,8,8.3,6,S6.E8: The One with Ross' Teeth
S6.E9 ∙ The One Where Ross Got High,9,9.1,6,S6.E9: The One Where Ross Got High
S6.E10 ∙ The One with the Routine,10,8.5,6,S6.E10: The One with the Routine
S6.E11 ∙ The One with the Apothecary Table,11,7.9,6,S6.E11: The One with the Apothecary Table
S6.E12 ∙ The One with the Joke,12,7.8,6,S6.E12: The One with the Joke
S6.E13 ∙ The One with Rachel's Sister,13,8.1,6,S6.E13: The One with Rachel's Sister
S6.E14 ∙ The One Where Chandler Can't Cry,14,8.4,6,S6.E14: The One Where Chandler Can't Cry
S6.E15 ∙ The One That Could Have Been: Part 1,15,8.3,6,S6.E15: The One That Could Have Been: Part 1
S6.E16 ∙ The One That Could Have Been: Part 2,16,8.3,6,S6.E16: The One That Could Have Been: Part 2
S6.E17 ∙ The One with Unagi,17,8.9,6,S6.E17: The One with Unagi
S6.E18 ∙ The One Where Ross Dates a Student,18,8.1,6,S6.E18: The One Where Ross Dates a Student
S6.E19 ∙ The One with Joey's Fridge,19,8.1,6,S6.E19: The One with Joey's Fridge
S6.E20 ∙ The One with Mac and C.H.E.E.S.E.,20,7.1,6,S6.E20: The One with Mac and C.H.E.E.S.E.
S6.E21 ∙ The One Where Ross Meets Elizabeth's Dad,21,8.5,6,S6.E21: The One Where Ross Meets Elizabeth's Dad
S6.E22 ∙ The One Where Paul's the Man,22,8.9,6,S6.E22: The One Where Paul's the Man
S6.E23 ∙ The One with the Ring,23,8.4,6,S6.E23: The One with the Ring
S6.E24 ∙ The One with the Proposal: Part 1,24,8.6,6,S6.E24: The One with the Proposal: Part 1
S6.E25 ∙ The One with the Proposal: Part 2,25,9.2,6,S6.E25: The One with the Proposal: Part 2
S7.E1 ∙ The One with Monica's Thunder,1,8.2,7,S7.E1: The One with Monica's Thunder
S7.E2 ∙ The One with Rachel's Book,2,8.1,7,S7.E2: The One with Rachel's Book
S7.E3 ∙ The One with Phoebe's Cookies,3,7.9,7,S7.E3: The One with Phoebe's Cookies
S7.E4 ∙ The One with Rachel's Assistant,4,7.9,7,S7.E4: The One with Rachel's Assistant
S7.E5 ∙ The One with the Engagement Picture,5,7.9,7,S7.E5: The One with the Engagement Picture
S7.E6 ∙ The One with the Nap Partners,6,8.7,7,S7.E6: The One with the Nap Partners
S7.E7 ∙ The One with Ross's Library Book,7,8.3,7,S7.E7: The One with Ross's Library Book
S7.E8 ∙ The One Where Chandler Doesn't Like Dogs,8,8,7,S7.E8: The One Where Chandler Doesn't Like Dogs
S7.E9 ∙ The One with All the Candy,9,7.9,7,S7.E9: The One with All the Candy
S7.E10 ∙ The One with the Holiday Armadillo,10,8.4,7,S7.E10: The One with the Holiday Armadillo
S7.E11 ∙ The One with All the Cheesecakes,11,8.4,7,S7.E11: The One with All the Cheesecakes
S7.E12 ∙ The One Where They're Up All Night,12,8.5,7,S7.E12: The One Where They're Up All Night
S7.E13 ∙ The One Where Rosita Dies,13,8.3,7,S7.E13: The One Where Rosita Dies
S7.E14 ∙ The One Where They All Turn Thirty,14,8.4,7,S7.E14: The One Where They All Turn Thirty
S7.E15 ∙ The One with Joey's New Brain,15,8.2,7,S7.E15: The One with Joey's New Brain
S7.E16 ∙ The One with the Truth About London,16,8.6,7,S7.E16: The One with the Truth About London
S7.E17 ∙ The One with the Cheap Wedding Dress,17,8.2,7,S7.E17: The One with the Cheap Wedding Dress
S7.E18 ∙ The One with Joey's Award,18,8.2,7,S7.E18: The One with Joey's Award
S7.E19 ∙ The One with Ross and Monica's Cousin,19,8.5,7,S7.E19: The One with Ross and Monica's Cousin
S7.E20 ∙ The One with Rachel's Big Kiss,20,8.2,7,S7.E20: The One with Rachel's Big Kiss
S7.E21 ∙ The One with the Vows,21,7.2,7,S7.E21: The One with the Vows
S7.E22 ∙ The One with Chandler's Dad,22,8.2,7,S7.E22: The One with Chandler's Dad
S7.E23 ∙ The One with Monica and Chandler's Wedding: Part 1,23,8.7,7,S7.E23: The One with Monica and Chandler's Wedding: Part 1
S7.E24 ∙ The One with Monica and Chandler's Wedding: Part 2,24,9.1,7,S7.E24: The One with Monica and Chandler's Wedding: Part 2
S8.E1 ∙ The One After I Do,1,8.6,8,S8.E1: The One After I Do
S8.E2 ∙ The One with the Red Sweater,2,9,8,S8.E2: The One with the Red Sweater
S8.E3 ∙ The One Where Rachel Tells...,3,8.6,8,S8.E3: The One Where Rachel Tells...
S8.E4 ∙ The One with the Videotape,4,9.2,8,S8.E4: The One with the Videotape
S8.E5 ∙ The One with Rachel's Date,5,7.9,8,S8.E5: The One with Rachel's Date
S8.E6 ∙ The One with the Halloween Party,6,8.4,8,S8.E6: The One with the Halloween Party
S8.E7 ∙ The One with the Stain,7,7.7,8,S8.E7: The One with the Stain
S8.E8 ∙ The One with the Stripper,8,8.6,8,S8.E8: The One with the Stripper
S8.E9 ∙ The One with the Rumor,9,9.2,8,S8.E9: The One with the Rumor
S8.E10 ∙ The One with Monica's Boots,10,7.9,8,S8.E10: The One with Monica's Boots
S8.E11 ∙ The One with Ross's Step Forward,11,7.8,8,S8.E11: The One with Ross's Step Forward
S8.E12 ∙ The One Where Joey Dates Rachel,12,8.4,8,S8.E12: The One Where Joey Dates Rachel
S8.E13 ∙ The One Where Chandler Takes a Bath,13,8.4,8,S8.E13: The One Where Chandler Takes a Bath
S8.E14 ∙ The One with the Secret Closet,14,8,8,S8.E14: The One with the Secret Closet
S8.E15 ∙ The One with the Birthing Video,15,8.2,8,S8.E15: The One with the Birthing Video
S8.E16 ∙ The One Where Joey Tells Rachel,16,8.1,8,S8.E16: The One Where Joey Tells Rachel
S8.E17 ∙ The One with the Tea Leaves,17,7.9,8,S8.E17: The One with the Tea Leaves
S8.E18 ∙ The One in Massapequa,18,8,8,S8.E18: The One in Massapequa
S8.E19 ∙ The One with Joey's Interview,19,7.2,8,S8.E19: The One with Joey's Interview
S8.E20 ∙ The One with the Baby Shower,20,8.1,8,S8.E20: The One with the Baby Shower
S8.E21 ∙ The One with the Cooking Class,21,8,8,S8.E21: The One with the Cooking Class
S8.E22 ∙ The One Where Rachel Is Late,22,8.2,8,S8.E22: The One Where Rachel Is Late
S8.E23 ∙ The One Where Rachel Has a Baby: Part 1,23,8.7,8,S8.E23: The One Where Rachel Has a Baby: Part 1
S8.E24 ∙ The One Where Rachel Has a Baby: Part 2,24,8.8,8,S8.E24: The One Where Rachel Has a Baby: Part 2
S9.E1 ∙ The One Where No One Proposes,1,8.5,9,S9.E1: The One Where No One Proposes
S9.E2 ∙ The One Where Emma Cries,2,8.4,9,S9.E2: The One Where Emma Cries
S9.E3 ∙ The One with the Pediatrician,3,8.1,9,S9.E3: The One with the Pediatrician
S9.E4 ∙ The One with the Sharks,4,8,9,S9.E4: The One with the Sharks
S9.E5 ∙ The One with Phoebe's Birthday Dinner,5,8.3,9,S9.E5: The One with Phoebe's Birthday Dinner
S9.E6 ∙ The One with the Male Nanny,6,8.2,9,S9.E6: The One with the Male Nanny
S9.E7 ∙ The One with Ross's Inappropriate Song,7,8.5,9,S9.E7: The One with Ross's Inappropriate Song
S9.E8 ∙ The One with Rachel's Other Sister,8,8.7,9,S9.E8: The One with Rachel's Other Sister
S9.E9 ∙ The One with Rachel's Phone Number,9,8,9,S9.E9: The One with Rachel's Phone Number
S9.E10 ∙ The One with Christmas in Tulsa,10,7.2,9,S9.E10: The One with Christmas in Tulsa
S9.E11 ∙ The One Where Rachel Goes Back to Work,11,7.8,9,S9.E11: The One Where Rachel Goes Back to Work
S9.E12 ∙ The One with Phoebe's Rats,12,7.7,9,S9.E12: The One with Phoebe's Rats
S9.E13 ∙ The One Where Monica Sings,13,8,9,S9.E13: The One Where Monica Sings
S9.E14 ∙ The One with the Blind Dates,14,8,9,S9.E14: The One with the Blind Dates
S9.E15 ∙ The One with the Mugging,15,8.1,9,S9.E15: The One with the Mugging
S9.E16 ∙ The One with the Boob Job,16,8,9,S9.E16: The One with the Boob Job
S9.E17 ∙ The One with the Memorial Service,17,8.3,9,S9.E17: The One with the Memorial Service
S9.E18 ∙ The One with the Lottery,18,8.5,9,S9.E18: The One with the Lottery
S9.E19 ∙ The One with Rachel's Dream,19,7.9,9,S9.E19: The One with Rachel's Dream
S9.E20 ∙ The One with the Soap Opera Party,20,8.1,9,S9.E20: The One with the Soap Opera Party
S9.E21 ∙ The One with the Fertility Test,21,8.1,9,S9.E21: The One with the Fertility Test
S9.E22 ∙ The One with the Donor,22,7.6,9,S9.E22: The One with the Donor
S9.E23 ∙ The One in Barbados,23,8.5,9,S9.E23: The One in Barbados
S10.E1 ∙ The One After Joey and Rachel Kiss,1,8.4,10,S10.E1: The One After Joey and Rachel Kiss
S10.E2 ∙ The One Where Ross Is Fine,2,8.7,10,S10.E2: The One Where Ross Is Fine
S10.E3 ∙ The One with Ross's Tan,3,8.6,10,S10.E3: The One with Ross's Tan
S10.E4 ∙ The One with the Cake,4,8.2,10,S10.E4: The One with the Cake
S10.E5 ∙ The One Where Rachel's Sister Babysits,5,8,10,S10.E5: The One Where Rachel's Sister Babysits
