fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
04027,NA,Yuma County,NA,1046,1053,1382,1892,2318
05001,NA,Arkansas County,NA,670,703,922,1159,1547
05003,NA,Ashley County,NA,666,671,880,1055,1476
05005,NA,Baxter County,NA,730,735,964,1274,1276
05007,NA,Benton County,NA,1007,1115,1347,1873,2213
05009,NA,Boone County,NA,607,671,880,1224,1343
05011,NA,Bradley County,NA,630,710,880,1212,1476
05013,NA,Calhoun County,NA,724,771,1011,1212,1425
05015,NA,Carroll County,NA,658,742,954,1144,1345
05017,NA,Chicot County,NA,630,671,880,1150,1282
05019,NA,Clark County,NA,730,731,880,1221,1356
05021,NA,Clay County,NA,658,671,880,1191,1240
05023,NA,Cleburne County,NA,684,735,955,1228,1295
05025,NA,Cleveland County,NA,630,671,880,1055,1240
05027,NA,Columbia County,NA,647,688,903,1191,1196
05029,NA,Conway County,NA,607,671,880,1224,1448
05031,NA,Craighead County,NA,805,870,1040,1402,1480
05033,NA,Crawford County,NA,683,714,937,1266,1532
05035,NA,Crittenden County,NA,1060,1154,1274,1683,1959
05037,NA,Cross County,NA,630,671,880,1224,1476
05039,NA,Dallas County,NA,630,671,880,1207,1240
05041,NA,Desha County,NA,630,671,880,1208,1476
05043,NA,Drew County,NA,664,706,927,1224,1227
05045,NA,Faulkner County,NA,984,989,1147,1540,1822
05047,NA,Franklin County,NA,666,671,880,1094,1476
05049,NA,Fulton County,NA,630,746,880,1145,1321
05051,NA,Garland County,NA,829,834,1090,1393,1670
05053,NA,Grant County,NA,795,800,968,1226,1539
05055,NA,Greene County,NA,648,772,905,1259,1492
05057,NA,Hempstead County,NA,650,692,908,1188,1404
05059,NA,Hot Spring County,NA,613,671,880,1155,1282
05061,NA,Howard County,NA,632,673,883,1059,1272
05063,NA,Independence County,NA,684,688,891,1175,1180
05065,NA,Izard County,NA,630,715,880,1202,1476
05067,NA,Jackson County,NA,630,671,880,1055,1165
05069,NA,Jefferson County,NA,697,728,937,1224,1241
05071,NA,Johnson County,NA,633,674,884,1083,1246
05073,NA,Lafayette County,NA,630,671,880,1055,1240
05075,NA,Lawrence County,NA,630,671,880,1089,1375
05077,NA,Lee County,NA,630,671,880,1224,1240
05079,NA,Lincoln County,NA,630,671,880,1224,1240
05081,NA,Little River County,NA,666,671,880,1166,1170
05083,NA,Logan County,NA,607,803,880,1224,1362
05085,NA,Lonoke County,NA,984,989,1147,1540,1822
05087,NA,Madison County,NA,1007,1115,1347,1873,2213
05089,NA,Marion County,NA,650,692,908,1132,1280
05091,NA,Miller County,NA,859,868,1101,1369,1657
05093,NA,Mississippi County,NA,624,671,880,1161,1165
05095,NA,Monroe County,NA,660,671,880,1055,1240
05097,NA,Montgomery County,NA,630,803,880,1096,1240
05099,NA,Nevada County,NA,652,694,911,1092,1284
05101,NA,Newton County,NA,614,803,880,1055,1476
05103,NA,Ouachita County,NA,630,694,880,1133,1240
05105,NA,Perry County,NA,984,989,1147,1540,1822
05107,NA,Phillips County,NA,630,671,880,1224,1407
05109,NA,Pike County,NA,630,803,880,1224,1274
05111,NA,Poinsett County,NA,681,685,880,1161,1165
05113,NA,Polk County,NA,642,703,897,1076,1188
05115,NA,Pope County,NA,647,715,938,1254,1258
05117,NA,Prairie County,NA,630,671,880,1150,1240
05119,NA,Pulaski County,NA,984,989,1147,1540,1822
05121,NA,Randolph County,NA,630,681,880,1224,1282
05123,NA,St. Francis County,NA,661,703,923,1161,1310
05125,NA,Saline County,NA,984,989,1147,1540,1822
05127,NA,Scott County,NA,630,671,880,1159,1240
05129,NA,Searcy County,NA,630,671,880,1224,1240
05131,NA,Sebastian County,NA,683,714,937,1266,1532
05133,NA,Sevier County,NA,666,671,880,1097,1210
05135,NA,Sharp County,NA,659,671,880,1224,1432
05137,NA,Stone County,NA,651,693,909,1264,1281
05139,NA,Union County,NA,714,718,923,1111,1301
05141,NA,Van Buren County,NA,630,671,880,1186,1240
05143,NA,Washington County,NA,1007,1115,1347,1873,2213
05145,NA,White County,NA,630,734,880,1149,1165
05147,NA,Woodruff County,NA,630,803,880,1157,1240
05149,NA,Yell County,NA,687,692,880,1224,1358
06001,NA,Alameda County,NA,2142,2385,2912,3724,4413
06003,NA,Alpine County,NA,1068,1165,1529,2126,2527
06005,NA,Amador County,NA,1387,1396,1698,2220,2714
06007,NA,Butte County,NA,1155,1270,1625,2260,2726
06009,NA,Calaveras County,NA,1078,1175,1542,2145,2316
06011,NA,Colusa County,NA,989,995,1306,1723,1729
06013,NA,Contra Costa County,NA,2142,2385,2912,3724,4413
06015,NA,Del Norte County,NA,957,1222,1370,1905,2277
06017,NA,El Dorado County,NA,1748,1832,2255,3002,3460
06019,NA,Fresno County,NA,1347,1355,1664,2314,2660
06021,NA,Glenn County,NA,939,1038,1362,1807,2179
06023,NA,Humboldt County,NA,1112,1186,1550,2156,2600
06025,NA,Imperial County,NA,939,1038,1362,1845,2285
06027,NA,Inyo County,NA,1058,1381,1514,1940,2540
06029,NA,Kern County,NA,1132,1140,1483,2062,2488
06031,NA,Kings County,NA,1150,1157,1469,2043,2451
06033,NA,Lake County,NA,1173,1181,1549,2154,2599
06035,NA,Lassen County,NA,882,1016,1279,1779,2146
06037,NA,Los Angeles County,NA,1863,2085,2601,3298,3672
