year,title,id,nominees_or_winner,imdb_url,producers
2016,The Martian,tt3659388,nominee,https://www.imdb.com/title/tt3659388/,Twentieth Century Fox|TSG Entertainment|Scott Free Productions|Genre Films|International Traders
2016,Mad Max: Fury Road,tt1392190,nominee,https://www.imdb.com/title/tt1392190/,Warner Bros.|Village Roadshow Pictures|Kennedy Miller Mitchell
2016,The Big Short,tt1596363,nominee,https://www.imdb.com/title/tt1596363/,Paramount Pictures|New Regency Productions|Plan B Entertainment
2015,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,winner,https://www.imdb.com/title/tt2562232/,New Regency Productions|M Productions|Le Grisbi Productions|TSG Entertainment|Worldview Entertainment
2015,American Sniper,tt2179136,nominee,https://www.imdb.com/title/tt2179136/,Warner Bros.|Village Roadshow Pictures|RatPac-Dune Entertainment|Mad Chance|Joint Effort
2015,Boyhood,tt1065073,nominee,https://www.imdb.com/title/tt1065073/,IFC Productions|Detour Filmproduction
2015,The Imitation Game,tt2084970,nominee,https://www.imdb.com/title/tt2084970/,Black Bear|Bristol Automotive
2015,The Grand Budapest Hotel,tt2278388,nominee,https://www.imdb.com/title/tt2278388/,Fox Searchlight Pictures|Indian Paintbrush|Studio Babelsberg|American Empirical Pictures|TSG Entertainment
2015,Selma,tt1020072,nominee,https://www.imdb.com/title/tt1020072/,Pathé|Harpo Films|Plan B Entertainment|Cloud Eight Films|Ingenious Media
2015,The Theory of Everything,tt2980516,nominee,https://www.imdb.com/title/tt2980516/,Working Title Films|Dentsu Motion Pictures|Fuji Television Network|Universal Pictures
2015,Whiplash,tt2582802,nominee,https://www.imdb.com/title/tt2582802/,Bold Films|Blumhouse Productions|Right of Way Films|Sierra / Affinity
2014,12 Years a Slave,tt2024544,winner,https://www.imdb.com/title/tt2024544/,New Regency Productions|River Road Entertainment|Plan B Entertainment|New Regency Productions|Film4
2014,The Wolf of Wall Street,tt0993846,nominee,https://www.imdb.com/title/tt0993846/,Red Granite Pictures|Appian Way|Sikelia Productions|EMJAG Productions
2014,American Hustle,tt1800241,nominee,https://www.imdb.com/title/tt1800241/,Columbia Pictures|Annapurna Pictures|Atlas Entertainment|Fundamental Films
2014,Nebraska,tt1821549,nominee,https://www.imdb.com/title/tt1821549/,Paramount Vantage|FilmNation Entertainment|Blue Lake Media Fund|Echo Lake Entertainment|Bona Fide Productions
2014,Captain Phillips,tt1535109,nominee,https://www.imdb.com/title/tt1535109/,Columbia Pictures|Scott Rudin Productions|Michael De Luca Productions|Trigger Street Productions
2014,Philomena,tt2431286,nominee,https://www.imdb.com/title/tt2431286/,The Weinstein Company|Yucaipa Films|Pathé|BBC Film|British Film Institute
