rank,title,director,year,imdb_rating,id,site,producer_site,audience_scores,tomato_meter_scores,director_rot_tom,distributor,production_co,produced_by,producers_imdb,production_company
153,The Chaos Class Failed the Class,Ertem Egilmez,NA,8.5,tt0252488,https://www.imdb.com/title/tt0252488/,https://www.imdb.com/title/tt0252488/companycredits?ref_=ttfc_sa_3,82,NA,Peter Werner,Videomite,Arzu Film,Videomite,Andrew Gottlieb,Arzu Film
154,The Treasure of the Sierra Madre,John Huston,1948,8.2,tt0040897,https://www.imdb.com/title/tt0040897/,https://www.imdb.com/title/tt0040897/companycredits?ref_=ttfc_sa_3,93,100,John Huston,Warner Bros.|Warner Bros. Pictures|Elite Films|Motion Picture Export Association (MPEA),Warner Bros.,Warner Bros.|Warner Bros. Pictures|Elite Films|Motion Picture Export Association (MPEA),Henry Blanke|Jack L. Warner,Warner Bros.
155,Howl's Moving Castle,Hayao Miyazaki,2005,8.2,tt0347149,https://www.imdb.com/title/tt0347149/,https://www.imdb.com/title/tt0347149/companycredits?ref_=ttfc_sa_3,93,88,Hayao Miyazaki,Toho|Cinema Service|Lucky Red|Madman Entertainment|Bazuca Films,Howl's Moving Castle Production Committee|Buena Vista Home Entertainment|DENTSU Music And Entertainment|Mitsubishi|Nippon Television Network (NTV),Toho|Cinema Service|Lucky Red|Madman Entertainment|Bazuca Films,Rick Dempsey|Tomohiko Ishii|John Lasseter|Ned Lott|Hayao Miyazaki|Toshio Suzuki,Howl's Moving Castle Production Committee|Buena Vista Home Entertainment|DENTSU Music And Entertainment|Mitsubishi|Nippon Television Network (NTV)
156,Finding Nemo,Andrew Stanton,2003,8.2,tt0266543,https://www.imdb.com/title/tt0266543/,https://www.imdb.com/title/tt0266543/companycredits?ref_=ttfc_sa_3,86,99,Andrew Stanton,Buena Vista Pictures Distribution|Buena Vista International|B&H Film Distribution|BDG filmai|Buena Vista International (Norway),Walt Disney Pictures|Pixar Animation Studios,Buena Vista Pictures Distribution|Buena Vista International|B&H Film Distribution|BDG filmai|Buena Vista International (Norway),Jinko Gotoh|John Lasseter|Graham Walters,Walt Disney Pictures|Pixar Animation Studios
157,Yojimbo,Akira Kurosawa,1961,8.2,tt0055630,https://www.imdb.com/title/tt0055630/,https://www.imdb.com/title/tt0055630/companycredits?ref_=ttfc_sa_3,96,96,Akira Kurosawa,Toho|Janus Films|Seneca Productions|Centrala Wynajmu Filmów|Aito Mäkinen,Kurosawa Production Co.|Sammy|Toho,Toho|Janus Films|Seneca Productions|Centrala Wynajmu Filmów|Aito Mäkinen,Ryûzô Kikushima|Akira Kurosawa|Tomoyuki Tanaka,Kurosawa Production Co.|Sammy|Toho
158,Klaus,Sergio Pablos,2019,8.2,tt4729430,https://www.imdb.com/title/tt4729430/,https://www.imdb.com/title/tt4729430/companycredits?ref_=ttfc_sa_3,96,95,Sergio Pablos,Netflix|Altitude Film Entertainment|TriPictures,The SPA Studios|Atresmedia Cine|Netflix Animation|Sergio Pablos Animation Studios (AKA Animagic),Netflix|Altitude Film Entertainment|TriPictures,Mary Anderson|Sara Coca|Gustavo Ferrada|Warren Franklin|Mercedes Gamero|Jinko Gotoh|Mikel Lejarza|Sergio Pablos|Marisa Roman|Matthew Teevan,The SPA Studios|Atresmedia Cine|Netflix Animation|Sergio Pablos Animation Studios (AKA Animagic)
159,The Great Escape,John Sturges,1963,8.2,tt0057115,https://www.imdb.com/title/tt0057115/,https://www.imdb.com/title/tt0057115/companycredits?ref_=ttfc_sa_3,95,94,John Sturges,United Artists|Kommunenes Filmcentral (KF)|Nova Film,The Mirisch Company|Alpha Productions,United Artists|Kommunenes Filmcentral (KF)|Nova Film,John Sturges|James Clavell|Walter Mirisch,The Mirisch Company|Alpha Productions
160,The Elephant Man,David Lynch,1980,8.2,tt0080678,https://www.imdb.com/title/tt0080678/,https://www.imdb.com/title/tt0080678/companycredits?ref_=ttfc_sa_3,93,91,David Lynch,Paramount Pictures|Columbia-EMI-Warner|Solopan|Adams Filmi|Cinema International Corporation (CIC),Brooksfilms,Paramount Pictures|Columbia-EMI-Warner|Solopan|Adams Filmi|Cinema International Corporation (CIC),Stuart Cornfeld|Jonathan Sanger|Mel Brooks,Brooksfilms
161,Monty Python and the Holy Grail,Terry Gilliam,1975,8.2,tt0071853,https://www.imdb.com/title/tt0071853/,https://www.imdb.com/title/tt0071853/companycredits?ref_=ttfc_sa_3,95,92,Terry Gilliam,EMI Films|Ambassador Film Distributors|British Empire Films Australia|CFDC-UGC|Cinema 5 Distributing,Python (Monty) Pictures|Michael White Productions|National Film Trustee Company,EMI Films|Ambassador Film Distributors|British Empire Films Australia|CFDC-UGC|Cinema 5 Distributing,Mark Forstater|John Goldstone|Michael White,Python (Monty) Pictures|Michael White Productions|National Film Trustee Company
162,The Best of Youth,Marco Tullio Giordana,2003,8.4,tt0346336,https://www.imdb.com/title/tt0346336/,https://www.imdb.com/title/tt0346336/companycredits?ref_=ttfc_sa_3,98,94,Marco Tullio Giordana,01 Distribution|Miramax|Polyfilm Verleih|Tokyo Theatres|Ventura Film,BiBi Film|Rai Fiction|Film Commission Torino-Piemonte,01 Distribution|Miramax|Polyfilm Verleih|Tokyo Theatres|Ventura Film,Angelo Barbagallo|Donatella Botti|Alessandro Calosci,BiBi Film|Rai Fiction|Film Commission Torino-Piemonte
