season,episode,title,rating,votes
14,4,Peternormal Activity,7.5,1659
14,5,"Peter, Chris & Brian",6.7,1409
14,6,Peter's Sister,6.5,1457
14,7,Hot Pocket-Dial,6.6,1413
14,8,Brokeback Swanson,6.8,1407
14,9,A Shot in the Dark,6.9,1515
14,10,"Candy, Quahog Marshmallow",7.1,1605
14,11,The Peanut Butter Kid,7.1,1414
14,12,Scammed Yankees,6.8,1382
14,13,An App a Day,7,1381
14,14,Underage Peter,7.1,1368
14,15,A Lot Going on Upstairs,7.9,1691
14,16,The Heartbreak Dog,6.6,1322
14,17,Take a Letter,6.9,1324
14,18,The New Adventures of Old Tom,7,1308
14,19,"Run, Chris, Run",6.6,1295
14,20,Road to India,7.1,1489
15,1,The Boys in the Band,7.1,1565
15,2,Bookie of the Year,6.7,1401
15,3,American Gigg-olo,7.2,1458
15,4,Inside Family Guy,6.8,1562
15,5,"Chris Has Got a Date, Date, Date, Date, Date",6.8,1464
15,6,Hot Shots,6.8,1460
15,7,High School English,7.3,1457
15,8,Carter and Tricia,6.6,1317
15,9,How the Griffin Stole Christmas,7.1,1342
15,10,Passenger Fatty-Seven,7.3,1406
15,11,Gronkowsbees,6.5,1338
15,12,Peter's Def Jam,6.8,1279
15,13,The Finer Strings,6.7,1236
15,14,The Dating Game,7.2,1356
15,15,Cop and a Half-Wit,7.1,1246
15,16,Saturated Fat Guy,7.4,1431
15,17,Peter's Lost Youth,6.6,1205
15,18,The Peter Principal,7.2,1280
15,19,Dearly Deported,6.8,1298
15,20,A House Full of Peters,7.1,1334
16,1,Emmy-Winning Episode,8.2,2757
16,2,Foxx in the Men House,7.1,1508
16,3,Nanny Goats,7.2,1537
16,4,Follow the Money,7.1,1544
16,5,Three Directors,7.8,2047
16,6,The D in Apartment 23,8.1,2194
16,7,Petey IV,6.7,1576
16,8,Crimes and Meg's Demeanor,7.3,1427
16,9,Don't Be a Dickens at Christmas,7,1412
16,10,Boy (Dog) Meets Girl (Dog),7,1412
16,11,Dog Bites Bear,7.5,1648
16,12,"Send in Stewie, Please",6.3,2898
16,13,V is for Mystery,6.8,1442
16,14,Veteran Guy,6.7,1312
16,15,The Woof of Wall Street,7.2,1340
16,16,'Family Guy' Through the Years,6.9,1389
16,17,Switch the Flip,8,1624
16,18,HTTPete,7.5,1667
16,19,The Unkindest Cut,6.6,1236
16,20,"Are You There God? It's Me, Peter",6.6,1285
17,1,Married with Cancer,6.5,1632
17,2,Dead Dog Walking,6.8,1495
17,3,Pal Stewie,6.9,1395
17,4,Big Trouble in Little Quahog,7.7,1684
17,5,Regarding Carter,6.5,1245
17,6,Stand by Meg,6.6,1276
17,7,The Griffin Winter Games,6.8,1348
17,8,Con Heiress,5.7,1505
17,9,Pawtucket Pete,6.6,1220
17,10,Hefty Shades of Gray,6.5,1284
17,11,Trump Guy,5.8,3107
17,12,"Bri, Robot",6.7,1239
17,13,Trans-Fat,6.1,1323
17,14,Family Guy Lite,6.6,1181
17,15,"No Giggity, No Doubt",6.6,1212
17,16,You Can't Handle the Booth,4.3,2584
17,17,Island Adventure,6.9,1264
17,18,Throw It Away,6.6,1244
17,19,"Girl, Internetted",6.8,1247
17,20,Adam West High,6.9,1265
18,1,Yacht Rocky,5.9,1617
18,2,Bri-Da,5.9,1367
18,3,Absolutely Babulous,6.5,1213
18,4,Disney's The Reboot,7.1,1515
