name,address,country_code,date_utc,google_maps_url,latitude,longitude
Hungaryto,"Carrer d'Aragó, 353, L'Eixample, 08009 Barcelona, Spain",ES,2022-07-15 00:00:00,http://maps.google.com/?cid=4112749922159784284,41.3973189,2.1714313
DeLucia's Brick Oven Pizza,"3 1st Ave, Raritan, NJ 08869, United States",US,2022-07-14 00:00:00,http://maps.google.com/?cid=9518350658268074534,40.56642,-74.637911
La Plata,"Carrer de la Mercè, 28, Ciutat Vella, 08002 Barcelona, Spain",ES,2022-07-11 00:00:00,http://maps.google.com/?cid=4350389979485247456,41.38041,2.1805931
No location information is available for this saved place,,,2022-07-09 00:00:00,"http://maps.google.com/?q=Plage+du+Proph%C3%A8te,+France&ftid=0x12c9c72fdbbf9aa3:0x44b0b38e3fa60114",0,0
Corto Maltese Freestyle food,"Obrov ul. 7, 21000, Split, Croatia",HR,2022-06-28 00:00:00,http://maps.google.com/?cid=3889148326876886041,43.5092844,16.4375116
Bistro 49,"Obala Ivana Pavla II 49, 20000, Dubrovnik, Croatia",HR,2022-06-26 00:00:00,http://maps.google.com/?cid=17685809769655216073,42.6636168,18.0833105
Cantina e Cucina,"V. del Governo Vecchio, 87, 00186 Roma RM, Italy",IT,2022-06-18 00:00:00,http://maps.google.com/?cid=6011452511059470225,41.8979478,12.4716378
Pizza Grand Gourmet,"Circonvallazione Clodia, 165/B, 00193 Roma RM, Italy",IT,2022-06-16 00:00:00,http://maps.google.com/?cid=17351616809565273684,41.9208858,12.4574899
Caffè Settimiano di Mella Valter e C. S.a.s.,"Via di Porta Settimiana, 1, 00165 Roma RM, Italy",IT,2022-06-16 00:00:00,http://maps.google.com/?cid=10606063213402027490,41.8920614,12.4676232
Spanish Steps,"Piazza di Spagna, 00187 Roma RM, Italy",IT,2022-06-15 00:00:00,http://maps.google.com/?cid=9205591385677129999,41.90599,12.482775
Ristorante La Scala in Trastevere,"Piazza della Scala, 58/61, 00153 Roma RM, Italy",IT,2022-06-15 00:00:00,http://maps.google.com/?cid=18389147927125674748,41.891114,12.468255
Ristorante le Sciantose,"Via Napoli, 55/57, 80078 Pozzuoli NA, Italy",IT,2022-05-24 00:00:00,http://maps.google.com/?cid=1489363994932822129,40.8185493,14.1434359
Misión Café,"C. de los Reyes, 5, local derecho, Centro, 28015 Madrid, Spain",ES,2022-05-22 00:00:00,http://maps.google.com/?cid=13176689936779959085,40.4242084,-3.7087872
Rice by Mama,"419 E Main St, Ventura, CA 93001, United States",US,2022-04-08 00:00:00,http://maps.google.com/?cid=10861189984919872495,34.281118,-119.2944037
Pizzeria Mozza,"641 Highland Ave, Los Angeles, CA 90036, United States",US,2022-04-08 00:00:00,http://maps.google.com/?cid=9212053440366273991,34.0831169,-118.3388666
Hollywoodland Stairs,"Saroyan stairs, Los Angeles, CA 90068, United States",US,2022-04-01 00:00:00,http://maps.google.com/?cid=11550263600368729448,34.1223312,-118.3219197
Nuʻuanu Pali Lookout,"Nuuanu Pali Dr, Kaneohe, HI 96744, United States",US,2022-03-20 00:00:00,http://maps.google.com/?cid=14517673050352653783,21.3671383,-157.7931316
Curry And Kabab Bistro,"7114 Edinger Ave, Huntington Beach, CA 92647, United States",US,2022-02-25 00:00:00,http://maps.google.com/?cid=8158838960311475492,33.7285224,-118.0059401
Forn Al Hara,"512 S Brookhurst St Ste #5, Anaheim, CA 92804, United States",US,2022-02-22 00:00:00,http://maps.google.com/?cid=17002026223590429619,33.8260455,-117.9582466
Jitlada Restaurant,"5233 Sunset Blvd, Los Angeles, CA 90027, United States",US,2022-01-22 00:00:00,http://maps.google.com/?cid=2904124693560473337,34.0985721,-118.304078
Amphai Northern Thai Food Club,"5301 Sunset Blvd #11, Los Angeles, CA 90027, United States",US,2022-01-22 00:00:00,http://maps.google.com/?cid=15734185228798041491,34.0982664,-118.3061455
Mona Lisa Cucina,"9017 Adams Ave, Huntington Beach, CA 92646, United States",US,2021-12-01 00:00:00,http://maps.google.com/?cid=12895603004061432652,33.6731657,-117.9706949
No location information is available for this saved place,,,2021-06-30 00:00:00,"http://maps.google.com/?q=34.092222,-118.132222",0,0
Brick Fire Tavern,"3447 Waialae Ave, Honolulu, HI 96816, United States",US,2021-06-25 00:00:00,http://maps.google.com/?cid=13983047953045442360,21.2841902,-157.8021511
Luv2eat Thai Bistro,"6660 Sunset Blvd, Los Angeles, CA 90028, United States",US,2021-05-06 00:00:00,http://maps.google.com/?cid=12528156803725902974,34.0977252,-118.3359383
The Recess Room,"18380 Brookhurst St, Fountain Valley, CA 92708, United States",US,2021-04-23 00:00:00,http://maps.google.com/?cid=44524866910735775,33.695807,-117.9538312
Fab Hot Dogs,"19417 Victory Blvd, Reseda, CA 91335, United States",US,2021-04-04 00:00:00,http://maps.google.com/?cid=8090033194048650352,34.1868457,-118.5561877
Awawaloa (Mount Olympus),"Kailua, HI 96734, United States",US,2021-03-02 00:00:00,http://maps.google.com/?cid=17824778655856215622,21.3357591,-157.777392
No location information is available for this saved place,,,2021-03-02 00:00:00,"http://maps.google.com/?q=21.310862,-157.781851",0,0
No location information is available for this saved place,,,2021-02-18 00:00:00,"http://maps.google.com/?q=21.315801,-157.662873",0,0
Los Tacos,"1450 Encinitas Blvd, Encinitas, CA 92024, United States",US,2021-02-14 00:00:00,http://maps.google.com/?cid=11791917748694876022,33.0465005,-117.2578294
Da Spot,"2469 S King St, Honolulu, HI 96826, United States",US,2021-02-07 00:00:00,http://maps.google.com/?cid=16650134157169681857,21.292549,-157.824177
Thai Avenue,"10130 Garden Grove Blvd #121, Garden Grove, CA 92844, United States",US,2020-12-31 00:00:00,http://maps.google.com/?cid=5790706748562568592,33.7732388,-117.9562302
Artist Walk Corporation,"201 N Bush St, Santa Ana, CA 92701, United States",US,2020-12-11 00:00:00,http://maps.google.com/?cid=9058008506666519438,33.7463367,-117.8664641
Tacos 1986,"609 S Spring St, Los Angeles, CA 90014, United States",US,2020-12-09 00:00:00,http://maps.google.com/?cid=2301818300750282896,34.0458186,-118.2514334
Audubon Park,"6500 Magazine St, New Orleans, LA 70118, United States",US,2020-12-07 00:00:00,http://maps.google.com/?cid=13835975096364845614,29.9255966,-90.1286501
St. Louis Cathedral,"615 Pere Antoine Alley, New Orleans, LA 70116, United States",US,2020-12-06 00:00:00,http://maps.google.com/?cid=3908456346550109614,29.9579735,-90.0637281
No location information is available for this saved place,,,2020-11-28 00:00:00,"http://maps.google.com/?q=2204+First+St,+New+Orleans,+LA+70113&ftid=0x8620a5cf0c98a90b:0xa21ffcdb3fa2a1ea",0,0
"Chef Marilyn's, Queen of Down Home Southern Goodies","2638 Crenshaw Blvd, Los Angeles, CA 90016, United States",US,2020-11-15 00:00:00,http://maps.google.com/?cid=14279330251022575250,34.031389,-118.334861
No location information is available for this saved place,,,2020-11-15 00:00:00,"http://maps.google.com/?q=21.320728,-157.681792",0,0
Carnitas el Momo,"1470 Monterey Pass Rd, Monterey Park, CA 91754, United States",US,2020-10-19 00:00:00,http://maps.google.com/?cid=16844948542565905298,34.0461724,-118.1615307
Pasta Sisters,"3280 Helms Ave, Culver City, CA 90232, United States",US,2020-10-15 00:00:00,http://maps.google.com/?cid=8665396221589272232,34.0299497,-118.3839104
Casa De Soria,"1961 E Thompson Blvd, Ventura, CA 93001, United States",US,2020-10-04 00:00:00,http://maps.google.com/?cid=4940715707304653826,34.2748309,-119.2715136
Mayura Indian Restaurant,"10406 Venice Blvd., Culver City, CA 90232, United States",US,2020-09-29 00:00:00,http://maps.google.com/?cid=14610790103449312278,34.019929,-118.4040319
Northwood Park,"3620 Avenida Verano, Thousand Oaks, CA 91360, United States",US,2020-08-26 00:00:00,http://maps.google.com/?cid=2666351990709851763,34.2278411,-118.8546165
No location information is available for this saved place,,,2020-07-28 00:00:00,"http://maps.google.com/?q=34.079779,-118.084493",0,0
Quán Vỹ Dạ Restaurant,"9950 Bolsa Ave B, Westminster, CA 92683, United States",US,2020-07-16 00:00:00,http://maps.google.com/?cid=12020290212220926590,33.744142,-117.955264
No location information is available for this saved place,,,2020-05-25 00:00:00,"http://maps.google.com/?q=Bixby+Creek+Bridge,+CA-1,+Monterey,+CA+93940&ftid=0x808d94a0aea9511b:0xadfeac07efb3a389",0,0
Noodle St,"120 W Foothill Blvd, Monrovia, CA 91016, United States",US,2020-04-21 00:00:00,http://maps.google.com/?cid=8522112628629362615,34.150099,-118.0014833
Boba Ave Express,"1437 S Baldwin Ave, Arcadia, CA 91007, United States",US,2020-04-21 00:00:00,http://maps.google.com/?cid=10997157751275566750,34.1227869,-118.0554232
Long Xing Ji Juicy Dumpling,"1628 Puente Ave, Baldwin Park, CA 91706, United States",US,2020-04-21 00:00:00,http://maps.google.com/?cid=7759920509196315348,34.0644206,-117.9667734
Hanauma Bay Ridge Trail,"7381 Kalanianaʻole Hwy, Honolulu, HI 96825, United States",US,2020-04-07 00:00:00,http://maps.google.com/?cid=16061708784172894833,21.2728792,-157.698742
Maili Pillbox,"Waianae, HI 96792, United States",US,2020-03-07 00:00:00,http://maps.google.com/?cid=15778359134165838938,21.4010345,-158.1706683
No location information is available for this saved place,,,2020-03-03 00:00:00,"http://maps.google.com/?q=Laniakea+Beach,+North+Shore,+HI+96712&ftid=0x7c00591b3768cc4b:0x9cd5f1d61dbafc84",0,0
Hawaiian Electric Beach Park,"92-201 Farrington Hwy, Kapolei, HI 96707, United States",,2020-02-29 00:00:00,http://maps.google.com/?cid=4257652599794654957,21.357213,-158.1308249
Pali Puka,"O‘ahu, Kaneohe, HI 96744, United States",US,2020-02-10 00:00:00,http://maps.google.com/?cid=15815427531919848124,21.3681914,-157.7969437
Lulumahu Falls,"4459 HI-61, Honolulu, HI 96817, United States",US,2020-02-10 00:00:00,http://maps.google.com/?cid=14001594044718525855,21.3484154,-157.801683
No location information is available for this saved place,,,2020-01-13 00:00:00,"http://maps.google.com/?q=21.359062,-157.763563",0,0
No location information is available for this saved place,,,2020-01-03 00:00:00,"http://maps.google.com/?q=34.047547,-118.317255",0,0
